Fips,Name,Temp,Rank,Past Mean,,,,,,
13011,Columbia County,77.6,61,77.5,,,,,,
13013,Cook County,79.1,74,78.6,,,,,,
13015,Coweta County,75.6,48,75.9,,,,,,
13017,Crawford County,77.5,49,77.7,,,,,,
13019,Crisp County,79,73,78.4,,,,,,
13021,Dade County,73.4,48,74,,,,,,
13023,Dawson County,71.7,30,73.3,,,,,,
13025,Decatur County,80,74,79.5,,,,,,
13027,DeKalb County,75.6,50,75.9,,,,,,
13029,Dodge County,78.9,61,78.9,,,,,,
13031,Dooly County,78.8,67,78.5,,,,,,
13033,Dougherty County,80.3,92,79.3,,,,,,
13035,Douglas County,74.9,46,75.2,,,,,,
13037,Early County,79.6,67,79.4,,,,,,
13039,Echols County,79.6,88,78.8,,,,,,
13043,Effingham County,78.6,60,78.5,,,,,,
13045,Elbert County,76.6,61,76.4,,,,,,
13047,Emanuel County,78.3,53,78.5,,,,,,
13049,Evans County,78.6,43,79.1,,,,,,
13051,Fannin County,69.5,30,70.8,,,,,,
13053,Fayette County,76.1,53,76.3,,,,,,
13055,Floyd County,73.9,18,76.1,,,,,,
13057,Forsyth County,73.4,36,74.6,,,,,,
13059,Franklin County,75.2,46,75.8,,,,,,
13061,Fulton County,75.3,49,75.6,,,,,,
13063,Gilmer County,70.1,25,71.9,,,,,,
13065,Glascock County,77,51,77.4,,,,,,
13067,Glynn County,79.6,76,79.1,,,,,,
13069,Gordon County,74,21,75.9,,,,,,
13071,Grady County,79.7,85,79,,,,,,
13073,Greene County,76.6,49,77,,,,,,
13075,Gwinnett County,74.9,47,75.4,,,,,,
13077,Habersham County,72.5,44,73.1,,,,,,
13079,Hall County,73.9,43,74.7,,,,,,
13081,Hancock County,76.8,40,77.6,,,,,,
13083,Haralson County,73.2,33,74.2,,,,,,
13085,Harris County,75.8,30,76.9,,,,,,
13087,Hart County,75.6,54,75.7,,,,,,
13089,Heard County,75.2,43,75.7,,,,,,
13091,Henry County,76.4,51,76.6,,,,,,
13093,Houston County,78.5,59,78.5,,,,,,
13095,Irwin County,79,71,78.6,,,,,,
13097,Jackson County,75.2,45,75.9,,,,,,
13099,Jasper County,76.6,48,76.8,,,,,,
13101,Jeff Davis County,79.5,78,78.9,,,,,,
13103,Jefferson County,77.7,66,77.6,,,,,,
13105,Jenkins County,78.1,62,78,,,,,,
13107,Johnson County,77.9,48,78.3,,,,,,
13109,Jones County,77.2,44,77.6,,,,,,
13111,Lamar County,76.4,50,76.6,,,,,,
13113,Lanier County,79.2,77,78.6,,,,,,
13115,Laurens County,78.5,50,78.8,,,,,,
13117,Lee County,79.7,79,79,,,,,,
13119,Liberty County,79,53,79.1,,,,,,
13121,Lincoln County,76.9,50,77.3,,,,,,
13123,Long County,79.2,58,79.1,,,,,,
13125,Lowndes County,79.2,82,78.6,,,,,,
13127,Lumpkin County,70.8,30,72.3,,,,,,
13129,McDuffie County,77,56,77.1,,,,,,
